biovalley,biovalley gegründeter trinationaler zusammenschluss biotechnologisch biomedizinal arbeitenden universitäten unternehmen dreiländereck oberrhein gründungsinitiative frankophilen deutsch-schweizerischen unternehmer georg endress zahlreiche führungspersönlichkeiten regionalen
biofakt,begriff biofakt besteht verbindung wörter bios griech leben artefakt bezeichnet biotisches artefakt
gehirn tank,gehirn tank englisch brain vat gedankenexperiment vorstellungen wissen realität wahrheit bewusstsein bedeutung durchdenken herangezogen computers gehirn künstlich elektrischen impulsen versorgt
gehirnwäsche,gehirnwäsche konzept sogenannter psychologischer manipulation taktiken mentalen umprogrammierung selbstvertrauen urteilskraft zielperson angegriffen grundeinstellungen realitätswahrnehmungen destabilisieren anschließend einstellungen ersetzen ältere gehirnwäsche-methoden
bricolage,claude lévi-strauss anthropologie eingeführte begriff bricolage frz bricoler herumbasteln zusammenfummeln steht verhalten akteur bricoleur verfügung stehenden ressourcen probleme löst besondere
richard buckminster fuller,richard buckminster fuller abgekürzt r buckminster fuller bucky fuller genannt juli milton massachusetts juli angeles us-amerikanischer architekt konstrukteur visionär designer
bussardkollektor,bussardkollektor bussard ramjet hypothetisches gerät sammeln wasserstoff mittels elektromagnetischen feldes weltall benannt robert w bussard technik energieversorgung raumschiffen vorschlug interstellaren
button copy,button copy bezeichnet spezielles herstellungsverfahren verkehrszeichen verkehrszeichen regel wegweiser dargestellten buchstaben piktogramme reflektoren sogenannten buttons bestückt weise sichtbarkeit dunkelheit deutlich
cals,cals engl computer-aided acquisition and life-cycle support computergestützte beschaffungs- lebenszyklus-unterstützung 1980er bezeichnung weltweite strategie behörden unternehmen umstellung umfangreicher technischer dokumentationen
ceced home appliances interoperating network,ceced europäischer verband hausgerätehersteller chain ceced home appliances interoperating network standard kommunikation elektrischer hausgeräte weg gebracht maßstäbe bereich heimautomatisierung bzw
sexroboter,sexroboter roboter bzw elektronische sexpuppe gegensatz reinen sexmaschine meist anthropomorphes aussehen sexuelle handlungen fantasien genutzt liebe robotern computer computerliebe roboterliebe
wagen,wagen meist vierrädriges fahrzeug mehrspurig mehrachsig kutsche gefedertes fuhrwerk gefederter zugtieren gezogener gedeckter wagen begriff karre(n beschreibt einachsiges fahrzeug rädern
katapult,katapult altgriech καταπέλτης katapeltēs κατά kata πάλλειν pallein schleudern wurfmaschine genannt bezeichnet tragbare fernwaffe geschosse mittels mechanischer energie ruhenden zustand
cell of origin,cell of origin coo deutsch ursprungszelle verfahren mobilen positionsbestimmung ortung bestimmt hilfe gsm-netzes mobiles gerät nutzer befinden coo liefert geographischen
fliehkraftschalter,fliehkraftschalter elektromechanisches betriebsmittel erreichen bestimmten drehzahl kontakt schaltet drehzahl bewegung mitdrehender massen gemessen fliehkräfte rückstellkraft feder arbeiten fliehkraftschalter eingesetzt drehzahlabhängig
,weltweit agierende plattform online-aktivismus hauptsitz san francisco millionen nutzern angaben größte petitionsplattform welt organisation themen politische einstellung überlässt nutzern plattform
änderungsprotokoll,änderungsprotokoll englisch changelog protokoll aufzeichnung änderungen projekt beispielsweise software website wort changelog englischen übernommenes kofferwort englisch change änderung log logbuch
tschebyschow-lambda-mechanismus,tschebyschow-lambda-mechanismus viergliedriges koppelgetriebe bzw kurbelschwinge drehbewegung annähernd geradlinige bewegung nahezu konstanter geschwindigkeit umwandelt verwandten hoecken-mechanismus verwechselt satz roberts stellt mechanismus
chinesisches zimmer,chinesische zimmer name gedankenexperiment philosophen john searle hilfe versucht searle meinung widerlegen digitale computer bewusstsein erlangen könnten passendes programm ausführen
graswurzel-journalismus,graswurzel-journalismus grassroot partizipativer journalismus bürger-journalismus form journalismus zivilgesellschaft medien gesellschaftlichen diskurs teilnimmt publikationsmöglichkeiten internet weblogs podcasts videoplattformen verbreitung graswurzel-journalismus beigetragen
civic technology,civic technology steht technische konzepte insbesondere bereich informationstechnik engagement beteiligung bürgerinnen bürgern fördern schwerpunktbereiche bilden schaffung kommunikationsplattformen verbesserung öffentlicher infrastrukturen
teilnehmerbetriebsklasse,isdn nachrichtennetzen teilnehmer teilnehmerbetriebsklasse engl closed user group cug zugeordnet externe verbindungen eingeschränkt unterschiedliche berechtigungen innerhalb cug teilnehmer zugewiesen wobei
collingridge-dilemma,collingridge-dilemma steuerungs- kontrolldilemma methodische zwickmühle versuche insbesondere technikfolgenabschätzung gestaltung technikentwicklung beizutragen stehen typischen doublebind- doppelbindungs- problem  informationsproblem wirkungen vorhergesehen
